Title,imdbRating,Poster_Link,Overview,Certificate,Runtime (min),Genre,Actors,Director,Year,tmdbRating,rottenRating
The Shawshank Redemption,9.3,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",R,142.0,"Drama, Crime","Morgan Freeman, Tim Robbins, Bob Gunton, William Sadler, Clancy Brown",Frank Darabont,1994.0,8.7,
The Godfather,9.2,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",R,175.0,"Drama, Crime","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",Francis Ford Coppola,1972.0,8.686,97.0
The Dark Knight,9.0,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",PG-13,152.0,"Drama, Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",Christopher Nolan,2008.0,8.5,94.0
The Godfather Part II,9.0,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",R,175.0,"Drama, Crime","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",Francis Ford Coppola,1972.0,8.686,97.0
12 Angry Men,9.0,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",NR,97.0,Drama,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",Sidney Lumet,1957.0,8.548,100.0
The Lord of the Rings: The Return of the King,9.0,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",PG-13,201.0,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis",Peter Jackson,2003.0,8.483,94.0
Schindler's List,9.0,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,R,195.0,"Drama, History, War","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",Steven Spielberg,1993.0,8.564,98.0
Pulp Fiction,8.9,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",R,154.0,"Thriller, Crime","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",Quentin Tarantino,1994.0,8.49,92.0
The Lord of the Rings: The Fellowship of the Ring,8.9,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",PG-13,179.0,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm",Peter Jackson,2001.0,8.42,92.0
"The Good, the Bad and the Ugly",8.8,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",R,161.0,Western,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli",Sergio Leone,1966.0,8.463,97.0
