Title,rottenRating
The Godfather,97
Casablanca,99
L.A. Confidential,99
Seven Samurai,100
Parasite,99
Schindler's List,98
Top Gun: Maverick,96
Chinatown,98
On the Waterfront,99
Toy Story 2,100
Rear Window,98
The Battle of Algiers,99
Modern Times,98
Finding Nemo,99
How to Train Your Dragon,99
Toy Story 3,98
Up,98
All About Eve,99
Godzilla Minus One,99
Toy Story,100
Singin' in the Rain,100
The Wrestler,99
Spotlight,97
A Separation,99
Spider-Man: Into the Spider-Verse,97
12 Angry Men,100
The Philadelphia Story,100
Spirited Away,96
Inside Out,98
The Third Man,99
Coco,97
Zootopia,98
Sunset Boulevard,98
Citizen Kane,99
"The Godfather, Part II",96
Selma,99
Mission: Impossible - Fallout,98
Cool Hand Luke,100
Toy Story 4,97
Shoplifters,99
Three Colors: Red,100
Annie Hall,97
Knives Out,97
Let the Right One In,98
Paddington 2,99
The Wizard of Oz,98
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98
Jaws,97
M,100
The Lord of the Rings: The Two Towers,95
Psycho,97
The Maltese Falcon,99
Alien,93
North by Northwest,97
The Holdovers,97
Double Indemnity,97
It Happened One Night,98
The Wild Robot,96
All About My Mother,98
The Kid,100
Bicycle Thieves,99
Short Term 12,98
Get Out,98
The 400 Blows,99
Metropolis,97
"Crouching Tiger, Hidden Dragon",98
The Wages of Fear,100
Grave of the Fireflies,100
Argo,96
Portrait of a Lady on Fire,97
Mission: Impossible - Dead Reckoning Part One,96
Before Sunrise,100
The Last Picture Show,98
The Dark Knight,94
Mad Max: Fury Road,97
The Treasure of the Sierra Madre,100
The Big Sick,98
"The Good, the Bad and the Ugly",97
Tampopo,100
The Gold Rush,100
A Hard Day's Night,98
Your Name,98
The Pianist,95
Tokyo Story,100
Harry Potter and the Deathly Hallows: Part 2,96
Pather Panchali,98
The Best Years of Our Lives,98
Kind Hearts and Coronets,100
All Quiet on the Western Front,98
Spider-Man: Across the Spider-Verse,95
Once,97
Witness for the Prosecution,100
His Girl Friday,99
The Shop Around the Corner,99
Nights of Cabiria,100
Laura,100
Fanny and Alexander,100
The Social Network,96
Stalker,100
A Man Escaped,100
Army of Shadows,97
Open City,100
Good Will Hunting,97
La Strada,98
Goodfellas,94
Rebecca,98
The Silence of the Lambs,95
The Terminator,100
Ikiru,98
Le Samouraï,92
Beauty and the Beast,95
Anatomy of a Murder,100
"Monsters, Inc.",96
Eighth Grade,99
12 Years a Slave,95
Pan's Labyrinth,95
The Lady Eve,99
Hunt for the Wilderpeople,97
007: Goldfinger,99
Lady Bird,99
Persepolis,96
Star Trek,94
Hell or High Water,97
Memento,94
Catch Me if You Can,96
Star Wars: Episode IV - A New Hope,94
Shadow of a Doubt,100
Mr. Smith Goes to Washington,97
Ratatouille,96
Brooklyn,97
Saving Private Ryan,94
The Lavender Hill Mob,100
Raiders of the Lost Ark,94
WALL-E,95
I Am Cuba,100
Maria Full of Grace,97
Ali: Fear Eats the Soul,100
The Iron Giant,96
The Passion of Joan of Arc,98
The King's Speech,94
Spider-Man: No Way Home,93
The Bridge on the River Kwai,96
The Farewell,97
The Adventures of Robin Hood,100
