Title,Original Title,Overview,Release Date,Genres,Runtime,Rating,Vote Count,Tagline,Poster Link,Backdrop Link,Budget,Revenue,Language,Production Companies,Cast,Director
The Shawshank Redemption,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,"Drama, Crime",142,8.707,28072,Fear can hold you prisoner. Hope can set you free.,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/w500/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,25000000,28341469,en,Castle Rock Entertainment,"Morgan Freeman, Tim Robbins, Bob Gunton, William Sadler, Clancy Brown",Frank Darabont
The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,"Drama, Crime",175,8.686,21276,An offer you can't refuse.,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://image.tmdb.org/t/p/w500/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,6000000,245066411,en,"Paramount Pictures, Alfran Productions","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",Francis Ford Coppola
The Godfather Part II,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,"Drama, Crime",202,8.568,12858,The rise and fall of the Corleone empire.,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://image.tmdb.org/t/p/w500/kGzFbGhp99zva6oZODW5atUtnqi.jpg,13000000,102600000,en,"Paramount Pictures, The Coppola Company, American Zoetrope","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale",Francis Ford Coppola
Schindler's List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,"Drama, History, War",195,8.563,16329,"Whoever saves one life, saves the world entire.",https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://image.tmdb.org/t/p/w500/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,22000000,321365567,en,Amblin Entertainment,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",Steven Spielberg
12 Angry Men,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,Drama,97,8.546,9045,Life is in their hands — Death is on their minds!,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/w500/bxgTSUenZDHNFerQ1whRKplrMKF.jpg,397751,4360000,en,"United Artists, Orion-Nova Productions","Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",Sidney Lumet
Spirited Away,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,"Animation, Family, Fantasy",125,8.5,16997,On the other side of the tunnel was a mysterious town.,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,https://image.tmdb.org/t/p/w500/6oaL4DP75yABrd5EbC4H2zq5ghc.jpg,19000000,274925095,ja,Studio Ghibli,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi",Hayao Miyazaki
Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,"Comedy, Drama, Romance",190,8.519,4478,"Come… Fall In love, All Over Again…",https://image.tmdb.org/t/p/w500/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,https://image.tmdb.org/t/p/w500/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,13200000,100000000,hi,Yash Raj Films,"Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher",Aditya Chopra
The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,"Drama, Action, Crime, Thriller",152,8.519,33664,Welcome to a world without rules.,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://image.tmdb.org/t/p/w500/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg,185000000,1004558444,en,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",Christopher Nolan
The Green Mile,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,"Fantasy, Drama, Crime",189,8.505,17983,Paul Edgecomb didn't believe in miracles. Until the day he met one.,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,https://image.tmdb.org/t/p/w500/vxJ08SvwomfKbpboCWynC3uqUg4.jpg,60000000,286801374,en,"Castle Rock Entertainment, Darkwoods Productions","Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell",Frank Darabont
Parasite,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,"Comedy, Thriller, Drama",133,8.5,18891,Act like you own the place.,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,https://image.tmdb.org/t/p/w500/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,11363000,257591776,ko,Barunson E&A,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam",Bong Joon Ho
